id,title,key
16,讨论&咨询贴:有没有一毕业进到组织部的同学啊，怎么适应的。,b'\xe7\xa8\xb3\xe5\xae\x9a \xe5\x8a\xa0\xe7\x8f\xad \xe8\x80\x83\xe4\xb8\x8a \xe9\x99\x90\xe5\x88\xb6 \xe6\x9d\xa1\xe4\xbb\xb6 \xe5\x90\x8c\xe5\xad\xa6 \xe5\x92\xa8\xe8\xaf\xa2 \xe7\xbb\x84\xe7\xbb\x87\xe9\x83\xa8 \xe6\x9c\x89\xe6\xb2\xa1\xe6\x9c\x89 \xe6\xaf\x95\xe4\xb8\x9a'
17,又一项关于本组的研究,b'\xe7\xa0\x94\xe7\xa9\xb6 \xe5\xb0\xb1\xe8\xaf\xbb \xe4\xbd\x93\xe9\xaa\x8c \xe7\xbd\x91\xe7\xbb\x9c \xe8\xb4\xb5\xe5\xad\x90 \xe4\xbd\x9c\xe8\x80\x85 \xe5\xb9\xb3\xe7\xad\x89 \xe9\xa2\x98\xe5\xae\xb6 \xe6\xb0\x91\xe6\x97\x8f\xe5\xbf\x97'
18,新传专业 只有本科 毕业做小学老师难吗？,b'\xe5\xb0\x8f\xe5\xad\xa6\xe8\x80\x81\xe5\xb8\x88 \xe8\x80\x83\xe7\xa0\x94 \xe5\xba\x94\xe8\x81\x98 \xe5\xb0\x8f\xe5\xad\xa6 \xe7\xbb\x93\xe6\x9d\x9f \xe5\x88\x9a\xe5\x88\x9a \xe8\x80\x81\xe5\xb8\x88 \xe5\x9d\x9a\xe5\xae\x9a \xe6\x96\xb0\xe4\xbc\xa0 \xe4\xb8\x93\xe4\xb8\x9a'
19,高校真的是卷王之王，劳务派遣都可以这么卷,b'\xe8\xa1\x8c\xe6\x94\xbf \xe5\x8a\xb3\xe5\x8a\xa1 \xe9\x9d\xa2\xe8\xaf\x95 \xe6\xa5\xbc\xe4\xb8\xbb \xe6\xb4\xbe\xe9\x81\xa3 \xe8\x80\x83\xe8\xaf\x81 \xe6\x96\xb9\xe4\xbe\xbf \xe6\x89\x93\xe6\x9d\x82 \xe8\x80\x81\xe5\xb8\x88 \xe6\x83\xb3\xe7\x9d\x80'
20,读研前的我肯定不会想到，现在在做这样的工作，时不时怅然,b'\xe5\x85\xac\xe5\x8f\xb8 \xe5\xb7\xa5\xe4\xbd\x9c \xe5\x88\x9d\xe6\x81\x8b \xe8\xa7\x89\xe5\xbe\x97 \xe5\x9b\x9e\xe5\x8e\xbb \xe9\xa2\x86\xe5\xaf\xbc \xe8\xaf\xbb\xe7\xa0\x94 \xe9\xbb\x91\xe6\xb0\xb4 \xe5\x8e\x9f\xe5\x85\x88 \xe8\x96\xaa\xe8\xb5\x84'
21,有没有江苏的组员呐,b'\xe7\xbb\x84\xe5\x91\x98 \xe6\xaf\x95\xe4\xb8\x9a \xe9\x80\x89\xe6\x8b\xa9 \xe6\x9c\x89\xe6\xb2\xa1\xe6\x9c\x89'
22,家长在电话里喷了快半个小时躺平,b'\xe5\x8f\x91\xe5\xb1\x95 \xe8\x81\x8c\xe4\xb8\x9a \xe5\xad\xa6\xe4\xb9\xa0 \xe8\xba\xba\xe5\xb9\xb3 \xe7\x94\xb5\xe8\xaf\x9d \xe6\xa0\xb8\xe5\xbf\x83 \xe7\xa6\xbb\xe4\xb8\x8d\xe5\xbc\x80 \xe5\xb7\xa5\xe4\xbd\x9c \xe7\xb2\xbe\xe8\x8b\xb1 \xe7\x8e\xaf\xe5\xa2\x83'
23,有小五跟我一样毕业旅行都找不到同伴的吗？,b'\xe4\xb8\x8d\xe5\x88\xb0 \xe6\xaf\x95\xe4\xb8\x9a \xe6\x97\x85\xe8\xa1\x8c \xe5\xbc\x82\xe5\x9c\xb0 \xe5\xae\xa4\xe5\x8f\x8b \xe9\x97\xba\xe8\x9c\x9c \xe5\x90\x8c\xe4\xbc\xb4 \xe5\xb9\xb3\xe6\xb7\xa1 \xe5\xb0\x8f\xe4\xba\x94'
24,从什么时候开始你意识到自己很废,b'\xe5\xa4\xa7\xe5\xad\xa6 \xe6\x97\xb6\xe9\x97\xb4 \xe8\x83\xbd\xe5\x8a\x9b \xe7\x9c\x9f\xe7\x9a\x84 \xe8\x80\x81\xe5\xb8\x88 \xe7\x9f\xa5\xe8\xaf\x86 \xe8\xa7\x86\xe9\xa2\x91 \xe6\x88\x90\xe7\xbb\xa9 \xe6\xad\xa5\xe4\xbc\x90 \xe8\x87\xaa\xe5\x8d\x91'
25,语言成绩尴尬的英硕应该defer吗？,b'\xe6\x8a\x95\xe7\xa5\xa8 \xe6\xa5\xbc\xe4\xb8\xbb \xe8\xaf\xad\xe8\xa8\x80 \xe6\x88\x90\xe7\xbb\xa9 \xe6\x8a\xa5\xe5\x90\x8d \xe4\xb8\x93\xe4\xb8\x9a \xe5\xb8\x82\xe5\x9c\xba\xe8\x90\xa5\xe9\x94\x80 \xe9\xab\x98\xe8\x80\x83 \xe7\x96\xab\xe8\x8b\x97 \xe8\x8b\xb1\xe8\xaf\xad'
26,你们要振作，振作起来，振作起来,b'\xe7\xa4\xbe\xe4\xbc\x9a \xe6\x8c\xaf\xe4\xbd\x9c\xe8\xb5\xb7\xe6\x9d\xa5 \xe5\xae\xb6\xe5\xba\xad \xe9\x80\x89\xe6\x8b\xa9 \xe6\x88\x90\xe9\x95\xbf \xe4\xb8\xbb\xe6\x84\x8f \xe6\x9c\x8b\xe5\x8f\x8b \xe7\x94\x9f\xe6\xb4\xbb \xe6\x99\xae\xe9\x80\x9a \xe6\x84\x8f\xe5\x91\xb3\xe7\x9d\x80'
27,选调还是考研还是出国,b'\xe9\x80\x89\xe8\xb0\x83 \xe6\x96\xb9\xe5\x90\x91 \xe5\x87\xba\xe5\x9b\xbd \xe5\xae\xb6\xe4\xb9\xa1 \xe5\xb7\xa5\xe4\xbd\x9c \xe5\x9b\x9e\xe6\x9d\xa5 \xe6\x96\xb0\xe9\x97\xbb \xe6\x9c\xab\xe6\xb5\x81 \xe6\xa5\xbc\xe4\xb8\xbb \xe9\x87\x8d\xe4\xbf\xae'
28,今年高考人数1078万，再创新高，这媒体报道，高兴得有点让人无语,b'\xe5\x86\x8d\xe5\x88\x9b\xe6\x96\xb0\xe9\xab\x98 \xe6\x96\xb0\xe9\xab\x98 \xe6\x9c\x89\xe7\x82\xb9 \xe5\xb7\xa8\xe6\xb5\xaa \xe6\x8e\x80\xe6\x9d\xa5 \xe5\xa4\xa7\xe5\x86\x9b \xe4\xb8\x8b\xe6\x84\x8f\xe8\xaf\x86 \xe8\xa7\x89\xe5\xbe\x97 \xe8\x80\x83\xe7\x94\x9f \xe6\x84\x8f\xe5\x91\xb3\xe7\x9d\x80'
29,有朋友在做电商的吗，想讨教一下！,b'\xe7\x94\xb5\xe5\x95\x86 \xe6\x9c\x8b\xe5\x8f\x8b'
30,语言成绩尴尬的英硕应该defer吗？,b'\xe6\x8a\x95\xe7\xa5\xa8 \xe6\xa5\xbc\xe4\xb8\xbb \xe8\xaf\xad\xe8\xa8\x80 \xe6\x88\x90\xe7\xbb\xa9 \xe6\x8a\xa5\xe5\x90\x8d \xe4\xb8\x93\xe4\xb8\x9a \xe5\xb8\x82\xe5\x9c\xba\xe8\x90\xa5\xe9\x94\x80 \xe9\xab\x98\xe8\x80\x83 \xe7\x96\xab\xe8\x8b\x97 \xe8\x8b\xb1\xe8\xaf\xad'
31,你们要振作，振作起来，振作起来,b'\xe7\xa4\xbe\xe4\xbc\x9a \xe6\x8c\xaf\xe4\xbd\x9c\xe8\xb5\xb7\xe6\x9d\xa5 \xe5\xae\xb6\xe5\xba\xad \xe9\x80\x89\xe6\x8b\xa9 \xe6\x88\x90\xe9\x95\xbf \xe4\xb8\xbb\xe6\x84\x8f \xe6\x9c\x8b\xe5\x8f\x8b \xe7\x94\x9f\xe6\xb4\xbb \xe6\x99\xae\xe9\x80\x9a \xe6\x84\x8f\xe5\x91\xb3\xe7\x9d\x80'
32,选调还是考研还是出国,b'\xe9\x80\x89\xe8\xb0\x83 \xe6\x96\xb9\xe5\x90\x91 \xe5\x87\xba\xe5\x9b\xbd \xe5\xae\xb6\xe4\xb9\xa1 \xe5\xb7\xa5\xe4\xbd\x9c \xe5\x9b\x9e\xe6\x9d\xa5 \xe6\x96\xb0\xe9\x97\xbb \xe6\x9c\xab\xe6\xb5\x81 \xe6\xa5\xbc\xe4\xb8\xbb \xe9\x87\x8d\xe4\xbf\xae'
33,今年高考人数1078万，再创新高，这媒体报道，高兴得有点让人无语,b'\xe5\x86\x8d\xe5\x88\x9b\xe6\x96\xb0\xe9\xab\x98 \xe6\x96\xb0\xe9\xab\x98 \xe6\x9c\x89\xe7\x82\xb9 \xe5\xb7\xa8\xe6\xb5\xaa \xe6\x8e\x80\xe6\x9d\xa5 \xe5\xa4\xa7\xe5\x86\x9b \xe4\xb8\x8b\xe6\x84\x8f\xe8\xaf\x86 \xe8\xa7\x89\xe5\xbe\x97 \xe8\x80\x83\xe7\x94\x9f \xe6\x84\x8f\xe5\x91\xb3\xe7\x9d\x80'
34,有朋友在做电商的吗，想讨教一下！,b'\xe7\x94\xb5\xe5\x95\x86 \xe6\x9c\x8b\xe5\x8f\x8b'
35,讨论|社交废物,b'\xe7\x8b\x82\xe5\x82\xb2 \xe5\xba\x9f\xe7\x89\xa9 \xe5\x86\x85\xe5\xbf\x83 \xe4\xba\xba\xe9\xa3\x9f \xe8\xb7\x9d\xe7\xa6\xbb \xe6\x97\xa0\xe6\xb3\x95 \xe5\xad\xa4\xe5\xaf\x82 \xe8\xae\xa8\xe8\xae\xba \xe7\xa4\xbe\xe4\xba\xa4 \xe5\xad\xa6\xe4\xb9\xa0'
36,积极分子不想继续了,b'\xe8\xba\xab\xe4\xbb\xbd \xe7\xbb\xa7\xe7\xbb\xad \xe7\xa7\xaf\xe6\x9e\x81\xe5\x88\x86\xe5\xad\x90 \xe4\xb8\x8d\xe6\x83\xb3 \xe7\xa0\xb4\xe4\xba\x8b \xe8\xa7\x89\xe5\xbe\x97 \xe8\x80\x83\xe5\x85\xac \xe9\x99\x90\xe5\x88\xb6 \xe7\x9c\x9f\xe6\x8c\xba \xe5\x9b\xb0\xe6\x89\xb0'
37,从本科延毕到考公屡败屡战-我的这三年,b'\xe5\xb7\xa5\xe4\xbd\x9c \xe9\x9d\xa2\xe8\xaf\x95 \xe7\x88\xb6\xe6\xaf\x8d \xe4\xb8\x80\xe7\x9b\xb4 \xe8\xa7\x86\xe9\xa2\x91 \xe6\x88\x90\xe7\xbb\xa9 \xe8\xa1\x8c\xe6\xb5\x8b \xe7\x9c\x8b\xe5\x88\xb0 \xe7\xbd\x91\xe7\xbb\x9c \xe6\x84\x9f\xe8\xa7\x89'
38,应统专硕有可能当高中教师吗,b'\xe5\x85\x84\xe5\xbc\x9f\xe5\xa7\x90\xe5\xa6\xb9 \xe9\x99\x90\xe5\x88\xb6 \xe6\x8a\xa5\xe8\x80\x83 \xe4\xb8\x93\xe4\xb8\x9a \xe7\xbb\x8f\xe9\xaa\x8c \xe5\x88\x86\xe4\xba\xab \xe6\x84\x9f\xe8\xa7\x89 \xe5\xa5\xbd\xe4\xb8\xa5 \xe7\xbb\x8f\xe5\x8e\x86'
39,uu们，人生低谷期该怎么办，感觉很无力,b'\xe5\xad\xa6\xe4\xb9\xa0 \xe6\x84\x9f\xe8\xa7\x89 \xe6\xb2\xbb\xe7\x96\x97 \xe4\xbb\xbb\xe5\x8a\xa1 \xe6\x9c\x80\xe5\xa5\xbd \xe4\xba\xba\xe7\x94\x9f \xe8\xa7\xa6\xe5\xba\x95 \xe8\xbf\x9b\xe5\xba\xa6 \xe4\xb8\x80\xe7\x9b\xb4 \xe8\xaf\xbb\xe7\xa0\x94'
40,有ee专业的朋友吗,b'\xe6\x9c\x8b\xe5\x8f\x8b \xe7\x94\xb5\xe6\xb0\x94 \xe7\x94\xb5\xe5\xad\x90 \xe4\xb8\x93\xe4\xb8\x9a'
41,这个人才储备好像有点东西啊，有点离谱,b'\xe6\x9c\x89\xe7\x82\xb9 \xe5\xa5\xbd\xe5\x83\x8f \xe5\x82\xa8\xe5\xa4\x87 \xe4\xba\xba\xe6\x89\x8d \xe7\xa6\xbb\xe8\xb0\xb1'
42,为了北京字节HR实习，值得花五千租房吗？,b'\xe5\xae\x9e\xe4\xb9\xa0 \xe6\xac\xa2\xe8\xbf\x8e \xe5\xad\x97\xe8\x8a\x82 \xe5\xb7\xa5\xe4\xbd\x9c \xe8\x80\x83\xe5\x85\xac \xe5\xa4\x87\xe6\x88\x98 \xe5\xad\xa6\xe6\xa0\xa1 \xe5\x85\x84\xe5\xbc\x9f\xe5\xa7\x90\xe5\xa6\xb9 \xe6\x8f\x90\xe9\x97\xae \xe8\xaf\xa2\xe9\x97\xae'
43,考了三次没考过六级，这次不想考了，会很影响找工作吗？,b'\xe8\xaf\xad\xe6\x96\x87 \xe5\xbd\xb1\xe5\x93\x8d \xe8\x80\x81\xe5\xb8\x88 \xe5\xb7\xa5\xe4\xbd\x9c \xe6\x99\xae\xe9\x80\x9a'
44,面试面抑郁了,b'\xe5\x8f\x91\xe7\x8e\xb0\xe8\x87\xaa\xe5\xb7\xb1 \xe9\x9d\xa2\xe8\xaf\x95 \xe6\x8a\x91\xe9\x83\x81 \xe5\xae\x9e\xe4\xb9\xa0 \xe5\x86\x99\xe9\xa2\x98'
45,中年失业日记（流水账）,b'\xe4\xbe\x9d\xe7\x84\xb6 \xe5\x92\x96\xe5\x95\xa1 \xe5\xa4\xb1\xe4\xb8\x9a \xe7\x94\xb5\xe5\x8f\xb0 \xe5\xb1\x95\xe8\xa7\x88 \xe5\xa5\xbd\xe5\xa4\x84 \xe7\xae\x80\xe5\x8e\x86 \xe6\x96\xad\xe8\xa3\x82 \xe7\xa4\xbe\xe4\xbc\x9a\xe7\xa7\xa9\xe5\xba\x8f \xe6\x9c\xac\xe6\x80\xa7'
46,在朋友__看见对字节的吐槽,b'\xe7\x9c\x8b\xe8\xa7\x81 \xe6\x9c\x8b\xe5\x8f\x8b \xe5\xad\x97\xe8\x8a\x82'
47,你是什么时候开始迷失自己的,b'\xe6\xa2\xa6\xe6\x83\xb3 \xe6\x94\xbe\xe5\xbc\x83'
48,你的18岁在读什么书？在想什么？,b'\xe6\x8f\x90\xe5\x88\xb0 \xe8\xaf\xa5\xe6\xad\xbb \xe7\x9c\x8b\xe5\xae\x8c \xe5\xbc\x80\xe5\xbf\x83 \xe5\xa4\x96\xe5\x9b\xbd\xe4\xba\xba \xe5\x9b\xbe\xe8\xa7\xa3 \xe5\x85\xa8\xe6\x96\x87 \xe6\x8b\xbc\xe5\x8a\xb2 \xe7\xbd\x91\xe7\xbb\x9c \xe5\x86\x85\xe5\xae\xb9'
49,pre太多了,b'\xe4\xb8\x8d\xe5\xa5\xbd \xe8\xae\xa1\xe7\xae\x97\xe6\x9c\xba \xe7\xa0\x94\xe7\xa9\xb6\xe7\x94\x9f \xe7\xae\x80\xe5\x8d\x95 \xe6\x9c\xac\xe5\xad\x90 \xe6\xb0\xb4\xe7\xac\x94 \xe5\xae\x9e\xe5\x9c\xa8 \xe5\x96\x9c\xe6\xac\xa2 \xe5\xae\x9e\xe9\xaa\x8c\xe5\xae\xa4 \xe5\x81\x9a\xe4\xb8\x8d\xe6\x9d\xa5'
50,高考进98five是为了啥,b'\xe4\xb8\x93\xe4\xb8\x9a \xe9\x92\xa2\xe5\x8e\x82 \xe9\xab\x98\xe7\x82\x89 \xe8\xbf\x87\xe6\x97\xa5\xe5\xad\x90 \xe5\x8f\xaa\xe8\x83\xbd \xe5\x86\xb0\xe7\x81\xab \xe5\xad\xa6\xe6\xa0\xa1 \xe6\x9b\xb4\xe5\xa5\xbd \xe5\xb0\xb1\xe4\xb8\x9a'
51,有被感情困扰的five吗？大家如何排解情绪呢？,b'\xe6\x83\x85\xe7\xbb\xaa \xe5\x9b\xb0\xe6\x89\xb0 \xe6\x80\xaa\xe5\x9c\x88 \xe5\xa7\x8b\xe7\xbb\x88 \xe9\x80\x83\xe4\xb8\x8d\xe5\x87\xba \xe6\x97\xa0\xe6\xb3\x95 \xe7\x9f\xa5\xe9\x81\x93 \xe5\xba\x94\xe8\xaf\xa5 \xe6\x8a\x98\xe7\xa3\xa8 \xe5\xbf\x98\xe8\xae\xb0'
52,大四下还要重修必修课会延毕吗？,b'\xe9\x87\x8d\xe4\xbf\xae \xe5\xbb\xb6\xe6\xaf\x95 \xe5\xbf\x85\xe4\xbf\xae\xe8\xaf\xbe \xe5\x8f\xaa\xe8\x83\xbd \xe6\xa5\xbc\xe4\xb8\xbb \xe5\xaf\xbc\xe8\x87\xb4'
53,高校辅导员面试完多久有结果啊？？等得心累,b'\xe9\x9d\xa2\xe8\xaf\x95 \xe5\x8f\xaa\xe8\x83\xbd \xe6\xad\xa3\xe8\xa7\x84 \xe6\x88\x90\xe7\xbb\xa9 \xe9\xab\x98\xe6\xa0\xa1 \xe8\xbe\x85\xe5\xaf\xbc\xe5\x91\x98 \xe5\xb1\x81\xe7\x94\xa8 \xe6\x8a\x9b\xe5\xbc\x83 \xe8\x82\xaf\xe5\xae\x9a \xe5\x91\x8a\xe8\xaf\x89'
54,看到一篇文章道尽人生真相,b'\xe5\xa4\xa7\xe5\xad\xa6 \xe4\xba\xba\xe7\x94\x9f \xe4\xbd\x93\xe5\x88\xb6 \xe9\xa3\x9e\xe6\x9c\xba \xe8\xaf\xbb\xe7\x89\xa9 \xe7\x9c\x8b\xe5\x88\xb0 \xe6\x96\x87\xe7\xab\xa0 \xe6\x95\x85\xe4\xb9\xa1 \xe5\x9b\x9e\xe5\x88\xb0 \xe8\x88\xaa\xe7\xa9\xba'
55,为什么内地学校很少有人gap和延毕呢？,b'\xe5\xbb\xb6\xe6\xaf\x95 \xe6\x94\xbf\xe7\xad\x96 \xe5\xa5\xbd\xe5\xa5\xbd \xe4\xba\xba\xe7\x94\x9f \xe4\xb8\x8d\xe7\xae\x97\xe4\xbb\x80\xe4\xb9\x88 \xe5\xad\xa6\xe6\xa0\xa1 \xe5\x81\x9a\xe5\x87\xba \xe5\x8e\x9f\xe5\x9b\xa0 \xe9\x80\x89\xe6\x8b\xa9 \xe8\xbe\x85\xe5\xaf\xbc\xe5\x91\x98'
56,深夜emo，觉得自己越来越废,b'\xe5\xad\xa6\xe6\x9c\x9f \xe9\x87\x8d\xe4\xbf\xae \xe9\xab\x98\xe6\x95\xb0 \xe5\x8f\xaa\xe8\x83\xbd \xe6\x84\x9f\xe8\xa7\x89 \xe5\xae\xb9\xe6\x98\x93 \xe7\x89\xb9\xe5\x88\xab \xe7\xbd\x91\xe8\xaf\xbe \xe6\x9c\x89\xe6\x97\xa0 \xe4\xb8\x93\xe4\xb8\x9a\xe8\xaf\xbe'
57,985硕士毕业8年了，还是大头兵，是five么？,b'\xe5\xb7\xa5\xe4\xbd\x9c \xe5\xa4\xa7\xe5\xa4\xb4 \xe7\x9c\x8b\xe4\xb8\x8d\xe5\x88\xb0 \xe7\x94\x9f\xe6\xb4\xbb \xe7\xa1\x95\xe5\xa3\xab \xe6\xaf\x95\xe4\xb8\x9a \xe5\xb8\x8c\xe6\x9c\x9b \xe7\x94\x9f\xe5\x91\xbd \xe8\xa2\xab\xe5\x8a\xa8 \xe5\xa5\xb3\xe5\x8f\x8b'
58,高校辅导员面试完多久有结果啊？？等得心累,b'\xe9\x9d\xa2\xe8\xaf\x95 \xe5\x8f\xaa\xe8\x83\xbd \xe6\xad\xa3\xe8\xa7\x84 \xe6\x88\x90\xe7\xbb\xa9 \xe9\xab\x98\xe6\xa0\xa1 \xe8\xbe\x85\xe5\xaf\xbc\xe5\x91\x98 \xe5\xb1\x81\xe7\x94\xa8 \xe6\x8a\x9b\xe5\xbc\x83 \xe8\x82\xaf\xe5\xae\x9a \xe5\x91\x8a\xe8\xaf\x89'
59,看到一篇文章道尽人生真相,b'\xe5\xa4\xa7\xe5\xad\xa6 \xe4\xba\xba\xe7\x94\x9f \xe4\xbd\x93\xe5\x88\xb6 \xe9\xa3\x9e\xe6\x9c\xba \xe8\xaf\xbb\xe7\x89\xa9 \xe7\x9c\x8b\xe5\x88\xb0 \xe6\x96\x87\xe7\xab\xa0 \xe6\x95\x85\xe4\xb9\xa1 \xe5\x9b\x9e\xe5\x88\xb0 \xe8\x88\xaa\xe7\xa9\xba'
